"Label (Grouping)","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 9 years","SEX AND AGE!!Total population!!10 to 14 years","SEX AND AGE!!Total population!!15 to 19 years","SEX AND AGE!!Total population!!20 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 59 years","SEX AND AGE!!Total population!!60 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 to 84 years","SEX AND AGE!!Total population!!85 years and over","SEX AND AGE!!Total population!!Median age (years)","Total housing units"
"    Percent","25,850","51.7%","48.3%","(X)","7.5%","4.0%","2.6%","2.5%","4.7%","33.3%","17.0%","11.2%","4.1%","4.9%","5.5%","2.1%","0.6%","(X)","(X)"
"ZCTA5 19126","","","","","","","","","","","","","","","","","","",""
"    Estimate","15,656","7,673","7,983","96.1","733","738","987","1,147","1,311","1,985","1,744","2,075","968","1,107","1,544","851","466","41.5","6,637"
"    Percent","15,656","49.0%","51.0%","(X)","4.7%","4.7%","6.3%","7.3%","8.4%","12.7%","11.1%","13.3%","6.2%","7.1%","9.9%","5.4%","3.0%","(X)","(X)"
"ZCTA5 19127","","","","","","","","","","","","","","","","","","",""
"    Estimate","5,760","3,253","2,507","129.8","183","38","7","38","1,176","2,423","588","405","259","235","262","113","33","28.6","3,051"
"    Percent","5,760","56.5%","43.5%","(X)","3.2%","0.7%","0.1%","0.7%","20.4%","42.1%","10.2%","7.0%","4.5%","4.1%","4.5%","2.0%","0.6%","(X)","(X)"
"ZCTA5 19128","","","","","","","","","","","","","","","","","","",""
"    Estimate","37,644","18,339","19,305","95.0","2,430","1,403","1,236","1,097","2,395","10,041","4,835","4,002","2,290","2,235","3,023","1,707","950","35.3","17,478"
"    Percent","37,644","48.7%","51.3%","(X)","6.5%","3.7%","3.3%","2.9%","6.4%","26.7%","12.8%","10.6%","6.1%","5.9%","8.0%","4.5%","2.5%","(X)","(X)"
"ZCTA5 19129","","","","","","","","","","","","","","","","","","",""
"    Estimate","11,275","5,124","6,151","83.3","971","365","282","723","589","3,192","1,594","979","605","587","820","400","168","33.8","5,088"
"    Percent","11,275","45.4%","54.6%","(X)","8.6%","3.2%","2.5%","6.4%","5.2%","28.3%","14.1%","8.7%","5.4%","5.2%","7.3%","3.5%","1.5%","(X)","(X)"
"ZCTA5 19130","","","","","","","","","","","","","","","","","","",""
"    Estimate","27,093","13,123","13,970","93.9","1,279","633","411","480","1,633","10,120","3,750","2,468","1,442","1,369","2,037","945","526","33.5","15,534"
"    Percent","27,093","48.4%","51.6%","(X)","4.7%","2.3%","1.5%","1.8%","6.0%","37.4%","13.8%","9.1%","5.3%","5.1%","7.5%","3.5%","1.9%","(X)","(X)"
"ZCTA5 19131","","","","","","","","","","","","","","","","","","",""
"    Estimate","44,723","19,885","24,838","80.1","2,902","2,654","2,893","3,268","3,006","7,450","4,503","5,031","2,815","2,658","3,813","2,479","1,251","35.5","21,361"
"    Percent","44,723","44.5%","55.5%","(X)","6.5%","5.9%","6.5%","7.3%","6.7%","16.7%","10.1%","11.2%","6.3%","5.9%","8.5%","5.5%","2.8%","(X)","(X)"
"ZCTA5 19132","","","","","","","","","","","","","","","","","","",""
"    Estimate","31,378","14,437","16,941","85.2","2,351","1,837","1,691","1,877","1,839","4,683","3,258","4,115","2,621","2,387","2,395","1,771","553","39.3","18,112"
"    Percent","31,378","46.0%","54.0%","(X)","7.5%","5.9%","5.4%","6.0%","5.9%","14.9%","10.4%","13.1%","8.4%","7.6%","7.6%","5.6%","1.8%","(X)","(X)"
"ZCTA5 19133","","","","","","","","","","","","","","","","","","",""
"    Estimate","27,102","13,080","14,022","93.3","1,849","2,204","1,964","2,275","1,969","3,478","3,383","3,959","1,448","2,059","1,558","702","254","34.0","10,377"
"    Percent","27,102","48.3%","51.7%","(X)","6.8%","8.1%","7.2%","8.4%","7.3%","12.8%","12.5%","14.6%","5.3%","7.6%","5.7%","2.6%","0.9%","(X)","(X)"
"ZCTA5 19134","","","","","","","","","","","","","","","","","","",""
"    Estimate","62,087","29,577","32,510","91.0","5,424","5,384","5,722","4,278","3,639","10,075","8,058","7,368","3,944","2,800","3,594","1,386","415","31.2","23,618"
"    Percent","62,087","47.6%","52.4%","(X)","8.7%","8.7%","9.2%","6.9%","5.9%","16.2%","13.0%","11.9%","6.4%","4.5%","5.8%","2.2%","0.7%","(X)","(X)"
"ZCTA5 19135","","","","","","","","","","","","","","","","","","",""
"    Estimate","35,427","16,866","18,561","90.9","2,937","2,952","2,406","2,799","1,958","5,856","5,261","3,808","2,040","1,957","1,774","1,182","497","33.1","13,247"
"    Percent","35,427","47.6%","52.4%","(X)","8.3%","8.3%","6.8%","7.9%","5.5%","16.5%","14.9%","10.7%","5.8%","5.5%","5.0%","3.3%","1.4%","(X)","(X)"
"ZCTA5 19136","","","","","","","","","","","","","","","","","","",""
"    Estimate","34,741","17,621","17,120","102.9","2,497","1,968","1,840","1,921","2,399","6,594","4,528","4,198","2,375","2,114","2,640","1,233","434","35.2","13,518"
"    Percent","34,741","50.7%","49.3%","(X)","7.2%","5.7%","5.3%","5.5%","6.9%","19.0%","13.0%","12.1%","6.8%","6.1%","7.6%","3.5%","1.2%","(X)","(X)"
"ZCTA5 19137","","","","","","","","","","","","","","","","","","",""
"    Estimate","8,347","4,168","4,179","99.7","638","601","518","447","299","1,292","1,237","969","752","437","778","262","117","38.2","3,546"
"    Percent","8,347","49.9%","50.1%","(X)","7.6%","7.2%","6.2%","5.4%","3.6%","15.5%","14.8%","11.6%","9.0%","5.2%","9.3%","3.1%","1.4%","(X)","(X)"
"ZCTA5 19138","","","","","","","","","","","","","","","","","","",""
"    Estimate","32,766","14,860","17,906","83.0","1,628","2,084","2,282","1,985","2,567","4,465","4,155","3,712","2,076","2,206","3,394","1,628","584","38.5","13,915"
"    Percent","32,766","45.4%","54.6%","(X)","5.0%","6.4%","7.0%","6.1%","7.8%","13.6%","12.7%","11.3%","6.3%","6.7%","10.4%","5.0%","1.8%","(X)","(X)"
"ZCTA5 19139","","","","","","","","","","","","","","","","","","",""
"    Estimate","46,397","21,183","25,214","84.0","3,670","3,075","3,811","3,045","3,488","7,449","5,246","5,442","2,607","2,684","3,532","1,588","760","32.4","21,349"
"    Percent","46,397","45.7%","54.3%","(X)","7.9%","6.6%","8.2%","6.6%","7.5%","16.1%","11.3%","11.7%","5.6%","5.8%","7.6%","3.4%","1.6%","(X)","(X)"
"ZCTA5 19140","","","","","","","","","","","","","","","","","","",""
"    Estimate","51,766","24,326","27,440","88.7","4,199","3,504","3,491","3,087","4,108","7,476","5,772","6,786","3,151","3,305","3,751","2,372","764","35.0","22,519"
"    Percent","51,766","47.0%","53.0%","(X)","8.1%","6.8%","6.7%","6.0%","7.9%","14.4%","11.2%","13.1%","6.1%","6.4%","7.2%","4.6%","1.5%","(X)","(X)"
"ZCTA5 19141","","","","","","","","","","","","","","","","","","",""
"    Estimate","34,701","15,827","18,874","83.9","2,510","2,340","1,760","2,925","3,216","5,319","3,685","3,765","2,169","1,774","3,056","1,726","456","34.1","14,314"
"    Percent","34,701","45.6%","54.4%","(X)","7.2%","6.7%","5.1%","8.4%","9.3%","15.3%","10.6%","10.8%","6.3%","5.1%","8.8%","5.0%","1.3%","(X)","(X)"
"ZCTA5 19142","","","","","","","","","","","","","","","","","","",""
"    Estimate","29,078","13,589","15,489","87.7","2,401","2,457","2,104","2,199","2,178","4,819","3,157","3,820","1,724","1,651","1,673","616","279","31.9","11,434"
"    Percent","29,078","46.7%","53.3%","(X)","8.3%","8.4%","7.2%","7.6%","7.5%","16.6%","10.9%","13.1%","5.9%","5.7%","5.8%","2.1%","1.0%","(X)","(X)"
"ZCTA5 19143","","","","","","","","","","","","","","","","","","",""
"    Estimate","64,630","28,833","35,797","80.5","4,781","4,058","4,619","3,366","4,906","12,321","7,904","6,854","3,353","3,544","4,930","2,538","1,456","32.9","30,584"
"    Percent","64,630","44.6%","55.4%","(X)","7.4%","6.3%","7.1%","5.2%","7.6%","19.1%","12.2%","10.6%","5.2%","5.5%","7.6%","3.9%","2.3%","(X)","(X)"
"ZCTA5 19144","","","","","","","","","","","","","","","","","","",""
"    Estimate","43,884","19,575","24,309","80.5","2,687","2,435","2,307","3,058","3,344","8,168","4,407","5,620","2,814","2,819","3,387","2,034","804","34.9","22,318"
"    Percent","43,884","44.6%","55.4%","(X)","6.1%","5.5%","5.3%","7.0%","7.6%","18.6%","10.0%","12.8%","6.4%","6.4%","7.7%","4.6%","1.8%","(X)","(X)"
"ZCTA5 19145","","","","","","","","","","","","","","","","","","",""
"    Estimate","46,052","21,954","24,098","91.1","2,610","2,162","2,899","1,892","2,345","9,387","5,783","5,736","2,796","3,026","4,231","2,197","988","37.8","20,373"
"    Percent","46,052","47.7%","52.3%","(X)","5.7%","4.7%","6.3%","4.1%","5.1%","20.4%","12.6%","12.5%","6.1%","6.6%","9.2%","4.8%","2.1%","(X)","(X)"
"ZCTA5 19146","","","","","","","","","","","","","","","","","","",""
"    Estimate","39,282","19,290","19,992","96.5","2,641","1,565","1,173","1,049","2,263","12,353","5,318","4,186","2,159","1,870","2,875","1,258","572","33.8","20,211"
"    Percent","39,282","49.1%","50.9%","(X)","6.7%","4.0%","3.0%","2.7%","5.8%","31.4%","13.5%","10.7%","5.5%","4.8%","7.3%","3.2%","1.5%","(X)","(X)"
"ZCTA5 19147","","","","","","","","","","","","","","","","","","",""
"    Estimate","38,472","18,684","19,788","94.4","2,502","1,607","1,366","951","1,285","11,296","6,831","4,535","2,013","1,847","2,781","1,123","335","35.2","19,695"
"    Percent","38,472","48.6%","51.4%","(X)","6.5%","4.2%","3.6%","2.5%","3.3%","29.4%","17.8%","11.8%","5.2%","4.8%","7.2%","2.9%","0.9%","(X)","(X)"
"ZCTA5 19148","","","","","","","","","","","","","","","","","","",""
"    Estimate","52,259","25,907","26,352","98.3","3,521","3,106","2,845","1,978","2,163","11,318","7,809","6,032","2,958","3,076","3,659","2,502","1,292","36.4","21,421"
"    Percent","52,259","49.6%","50.4%","(X)","6.7%","5.9%","5.4%","3.8%","4.1%","21.7%","14.9%","11.5%","5.7%","5.9%","7.0%","4.8%","2.5%","(X)","(X)"
"ZCTA5 19149","","","","","","","","","","","","","","","","","","",""
"    Estimate","58,055","28,490","29,565","96.4","4,708","4,608","3,975","3,302","3,677","9,946","8,544","7,341","3,108","2,726","3,991","1,508","621","33.7","20,541"
"    Percent","58,055","49.1%","50.9%","(X)","8.1%","7.9%","6.8%","5.7%","6.3%","17.1%","14.7%","12.6%","5.4%","4.7%","6.9%","2.6%","1.1%","(X)","(X)"
"ZCTA5 19150","","","","","","","","","","","","","","","","","","",""
"    Estimate","22,299","9,257","13,042","71.0","975","1,102","1,171","940","986","3,279","2,378","2,615","1,695","1,736","3,611","1,387","424","46.1","10,746"
"    Percent","22,299","41.5%","58.5%","(X)","4.4%","4.9%","5.3%","4.2%","4.4%","14.7%","10.7%","11.7%","7.6%","7.8%","16.2%","6.2%","1.9%","(X)","(X)"
"ZCTA5 19151","","","","","","","","","","","","","","","","","","",""
"    Estimate","33,343","14,867","18,476","80.5","1,992","2,234","2,793","2,120","2,141","5,759","3,444","4,826","2,140","2,002","2,558","1,015","319","34.1","13,517"
"    Percent","33,343","44.6%","55.4%","(X)","6.0%","6.7%","8.4%","6.4%","6.4%","17.3%","10.3%","14.5%","6.4%","6.0%","7.7%","3.0%","1.0%","(X)","(X)"
"ZCTA5 19152","","","","","","","","","","","","","","","","","","",""
"    Estimate","36,379","17,878","18,501","96.6","2,631","1,793","1,968","2,103","1,837","5,686","4,438","4,001","2,549","2,390","3,574","2,055","1,354","40.6","13,454"
"    Percent","36,379","49.1%","50.9%","(X)","7.2%","4.9%","5.4%","5.8%","5.0%","15.6%","12.2%","11.0%","7.0%","6.6%","9.8%","5.6%","3.7%","(X)","(X)"
"ZCTA5 19153","","","","","","","","","","","","","","","","","","",""
"    Estimate","13,006","5,942","7,064","84.1","398","716","631","1,112","1,101","1,783","1,795","1,979","751","728","1,142","596","274","38.2","5,969"
"    Percent","13,006","45.7%","54.3%","(X)","3.1%","5.5%","4.9%","8.5%","8.5%","13.7%","13.8%","15.2%","5.8%","5.6%","8.8%","4.6%","2.1%","(X)","(X)"
"ZCTA5 19154","","","","","","","","","","","","","","","","","","",""
"    Estimate","35,098","16,961","18,137","93.5","2,692","2,258","2,038","1,604","1,370","6,032","4,526","4,475","2,287","2,271","2,951","2,032","562","38.4","13,360"
"    Percent","35,098","48.3%","51.7%","(X)","7.7%","6.4%","5.8%","4.6%","3.9%","17.2%","12.9%","12.8%","6.5%","6.5%","8.4%","5.8%","1.6%","(X)","(X)"
