business_id,postal_code,business_lat,business_long,overall_business_stars,overall_review_count,isromantic,isintimate,istouristy,ishipster,isdivey,isclassy,istrendy,isupscale,iscasual,parking_garage,parking_street,parking_validated,parking_lot,parking_valet,alcohol,outdoorseating,restaurantstableservice,bikeparking,happyhour,byob,businessacceptscreditcards,restaurantscounterservice,hastv,restaurantspricerange2,restaurantsreservations,restaurantsdelivery,wifi,restaurantstakeout,n_photo,attribute_count,average_stars_2018,average_stars_2019,review_count_2018,review_count_2019,check_in_count_2018,check_in_count_2019,Total.population_2018,Total.population_2019,children_2018,children_2019,youth_2018,youth_2019,adults_2018,adults_2019,elders_2018,elders_2019,surrounding_children_2018,surrounding_youth_2018,surrounding_adults_2018,surrounding_elders_2018,surrounding_children_2019,surrounding_youth_2019,surrounding_adults_2019,surrounding_elders_2019,scaled_capped_business_proximity,landmarks_nearby,capped_Total.population_2018,scaled_capped_Total.population_2018,capped_Total.population_2019,scaled_capped_Total.population_2019,capped_children_2018,scaled_capped_children_2018,capped_children_2019,scaled_capped_children_2019,capped_youth_2018,scaled_capped_youth_2018,capped_youth_2019,scaled_capped_youth_2019,capped_adults_2018,scaled_capped_adults_2018,capped_adults_2019,scaled_capped_adults_2019,capped_elders_2018,scaled_capped_elders_2018,capped_elders_2019,scaled_capped_elders_2019,capped_surrounding_children_2018,scaled_capped_surrounding_children_2018,capped_surrounding_youth_2018,scaled_capped_surrounding_youth_2018,capped_surrounding_adults_2018,scaled_capped_surrounding_adults_2018,capped_surrounding_elders_2018,scaled_capped_surrounding_elders_2018,capped_surrounding_children_2019,scaled_capped_surrounding_children_2019,capped_surrounding_youth_2019,scaled_capped_surrounding_youth_2019,capped_surrounding_adults_2019,scaled_capped_surrounding_adults_2019,capped_surrounding_elders_2019,scaled_capped_surrounding_elders_2019
05ev984NYfimRN0UiFrxaA,19130,39.965015,-75.161076,4,877,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,1,1,NA,1,NA,0,3,1,1,2,1,61,17,4.1967,4.0583,61,103,67,88,27410,27093,2684,2323,2292,2113,19125,19149,3309,3508,31373,54428,123210,29135,30550,53965,126080,30070,1.015443708665405,13,27410,-0.10659523962276256,27093,-0.1515051164022916,2684,-0.4519230769230769,2323,-0.5272657450076805,2292,-0.1021062271062271,2113,-0.05172413793103448,19125,0.08446815186695952,19149,0.0571660120940091,3309,-0.2701298701298701,3508,-0.20098982678031344,31373,0.056100981767180924,54428,1.59435455055893,123210,0.2527470441994193,29135,0.3046278924327705,30550,0.025836801157951873,53965,1.753697320137885,126080,0.29685261967583865,30070,0.36892688679245284
0-7N3z_cb3Z1xMGDrbez6w,19148,39.926032,-75.1678,4,389,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,1,1,1,1,NA,1,NA,1,3,1,1,0,0,12,13,3.9714,4,35,33,32,26,52594,52259,9257,9472,4110,4141,31531,31193,7696,7453,28581,14140,110165,24264,27997,13926,110329,23813,2.47833058482429,11,52594,0.7012574581381921,52259,0.681888929363844,9257,0.7634985207100592,9472,0.8454301075268817,4110,0.7303113553113553,4141,0.8010933557611438,31531,0.8630059617194854,31193,0.807992020447603,7696,0.9959595959595959,7453,0.8836953533131702,28581,-0.04430539072895314,14140,-0.46209994385176867,110165,0.005180953826884026,24264,0,27997,-0.06654604667993487,13926,-0.47242299566329365,110329,0,23813,0
0a8t_Th0jtWUMmtq0q2dqA,19104,39.9531984523,-75.1928739332,3.5,30,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,1,NA,0,0,NA,1,2,4,3.4167,3.6,12,15,23,14,54311,53560,6698,6454,23800,23654,20000,19313,3813,4139,53009,61505,173694,42427,53652,60644,174777,43211,1.4328599203740484,19,54311,0.7563354077115545,53560,0.7249726794052389,6698,0.29031065088757396,6454,0.26593701996927804,23800,9.74587912087912,23654,9.0067283431455,20000,0.13937872607467838,19313,0.06738981360264322,3813,-0.12467532467532468,4139,-0.027495188342040143,53009,0.834178444276621,61505,1.9555918534020724,173694,1.2108249672632039,42427,1.1358974358974359,53652,0.861805681201375,60644,2.1250416990992993,174777,1.214624952883528,43211,1.14375
0ak-7uV9Nb7nF_l-mMCysA,19107,39.9532717,-75.1562016,4,228,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,NA,NA,1,NA,0,1,0,1,2,1,9,12,4.4545,4.04,33,25,50,18,13696,14526,727,940,2157,2183,9297,9845,1515,1558,11541,10001,77559,14058,11719,9706,79216,14540,1.961042501441295,19,13696,-0.5465131199076153,14526,-0.5676722853263569,727,-0.8137943786982249,940,-0.7928187403993856,2157,-0.16391941391941392,2183,-0.022287636669470142,9297,-0.5322874176341387,9845,-0.5228477027616732,1515,-0.7878787878787878,1558,-0.7371459994500962,11541,-0.6571007300320063,10001,-0.6733704251952427,77559,-0.6136109160609569,14058,-0.6382739212007504,11719,-0.6555816898860141,9706,-0.7070499277215612,79216,-0.5863739163211459,14540,-0.5467570754716982
0bvtIbpsqBJZpRKSPwIfNw,19106,39.950201,-75.142285,4,324,0,1,0,0,0,1,0,0,0,0,1,0,1,0,2,1,1,0,1,NA,1,NA,1,3,1,1,2,1,12,19,4.0833,3.9744,36,39,25,37,12375,12592,763,776,761,657,8671,8853,2180,2306,8741,6883,55346,9842,9233,6744,56818,10146,0.6221703133803739,21,12375,-0.5888881760441393,12592,-0.6317183826207902,763,-0.807137573964497,776,-0.8243087557603687,761,-0.8031135531135531,657,-0.6640033641715728,8671,-0.5715720112958895,8853,-0.5846892338382894,2180,-0.5959595959595959,2306,-0.5314819906516359,8741,-0.7577947998705362,6883,-0.8325251390944821,55346,-1.0351659613231359,9842,-0.9019387116948092,9233,-0.7455400759905917,6744,-0.871733570554876,56818,-1.0084998115341124,10146,-0.8058372641509434
0CEUpFtaKhxbmrbSdP9MUQ,19147,39.9389483,-75.1564078,4,79,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,1,NA,1,NA,1,2,1,NA,2,1,2,13,4.1136,3.6154,44,26,25,27,39060,38472,5468,5475,2515,2236,26832,26522,4245,4239,30187,17884,131221,28866,29876,17615,132276,28563,0.844762763858297,28,39060,0.2671136203246295,38472,0.22532039606583434,5468,0.0628698224852071,5475,0.07795698924731183,2515,0,2236,0,26832,0.5681204894885472,26522,0.5168006982108347,4245,0,4239,0,30187,0.013449850757003633,17884,-0.27099178194068707,131221,0.40477862334655457,28866,0.28780487804878047,29876,0.0014474398407816175,17615,-0.2673190259090404,132276,0.4136260836788541,28563,0.2800707547169811
0De2juaQqHNUYs-vNEj9RA,19120,40.0196839,-75.1107755,3.5,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,NA,0,1,0,1,0,1,1,9,3,3,3,3,3,1,74971,74060,18072,18164,12378,12252,39021,37618,5500,6026,72797,47387,160591,33738,72284,45570,160776,35970,-0.36498466962456927,16,74971,1.4190671713607494,74060,1.403848064377256,18072,2.393491124260355,18164,2.514400921658986,12378,4.516025641025641,12252,4.211942809083263,39021,1.3330404769375588,37618,1.2085281466242752,5500,0.3621933621933622,6026,0.49133901567225735,72797,1.5457978206926313,47387,1.2349548261957022,160591,0.9621581614256163,33738,0.5924953095684803,72284,1.5360231590374525,45570,1.2869454019793172,160776,0.9507538635506974,35970,0.7168042452830189
-0eUa8TsXFFy0FCxHYmrjg,19104,39.9524461,-75.1873206,4,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,1,NA,0,1,0,1,2,1,1,12,4,4.1111,3,9,6,5,54311,53560,6698,6454,23800,23654,20000,19313,3813,4139,53009,61505,173694,42427,53652,60644,174777,43211,0.5265761218876569,18,54311,0.7563354077115545,53560,0.7249726794052389,6698,0.29031065088757396,6454,0.26593701996927804,23800,9.74587912087912,23654,9.0067283431455,20000,0.13937872607467838,19313,0.06738981360264322,3813,-0.12467532467532468,4139,-0.027495188342040143,53009,0.834178444276621,61505,1.9555918534020724,173694,1.2108249672632039,42427,1.1358974358974359,53652,0.861805681201375,60644,2.1250416990992993,174777,1.214624952883528,43211,1.14375
0f4snVRBbsomhoGkFD7GUA,19148,39.9214837,-75.1485312,3,87,0,0,0,0,NA,0,0,0,1,0,1,0,0,0,0,0,NA,1,NA,NA,1,NA,1,1,0,1,0,1,0,12,2.7692,2,13,5,3,2,52594,52259,9257,9472,4110,4141,31531,31193,7696,7453,28581,14140,110165,24264,27997,13926,110329,23813,0.9804079758379464,12,52594,0.7012574581381921,52259,0.681888929363844,9257,0.7634985207100592,9472,0.8454301075268817,4110,0.7303113553113553,4141,0.8010933557611438,31531,0.8630059617194854,31193,0.807992020447603,7696,0.9959595959595959,7453,0.8836953533131702,28581,-0.04430539072895314,14140,-0.46209994385176867,110165,0.005180953826884026,24264,0,27997,-0.06654604667993487,13926,-0.47242299566329365,110329,0,23813,0
0h4Oo6W8mG4HEYQzZRkoOA,19124,40.0348900461,-75.1003371425,3.5,57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,1,NA,1,1,0,1,2,1,1,8,2.8333,1.5,12,6,19,20,68965,70304,18232,19381,10335,9954,34860,35188,5538,5781,103077,60827,223679,41209,103089,57370,223704,43996,-0.34556440513873066,8,68965,1.2264066209020337,70304,1.2794648475014074,18072,2.393491124260355,18164,2.514400921658986,10335,3.5805860805860807,9954,3.2455845248107655,34860,1.0719171634766238,35188,1.0570413315878062,5538,0.37316017316017314,5781,0.423975804234259,93117,2.2765490703779623,60827,1.9209841253636875,209140,1.8835139392329152,41209,1.059724828017511,92822,2.279211145286774,57370,1.9430112309574112,210429,1.8865435356200528,43996,1.1900353773584906
0hPp_rLhzOVZ0YRbojvSeQ,19135,40.0295108576,-75.0583856691,4,55,0,0,0,0,0,0,0,0,1,NA,NA,NA,1,0,1,0,NA,0,NA,NA,1,NA,1,1,0,1,NA,1,0,8,4.4,3.3333,5,6,8,4,35302,35427,8271,8295,4913,4757,18711,18922,3407,3453,48221,27967,110197,20467,49029,26756,110271,20818,-0.2709719241541172,12,35302,0.14656444472958235,35427,0.12448256449316157,8271,0.5811760355029586,8295,0.619431643625192,4913,1.097985347985348,4757,1.06013456686291,18711,0.05848760589896455,18922,0.043014774639985036,3407,-0.24184704184704184,3453,-0.21611218036843552,48221,0.6619915848527349,27967,0.24368332397529477,110197,0.005788245117947355,20467,-0.23746091307066916,49029,0.6945178216030397,26756,0.24090959635271877,110271,-0.0010931021485111195,20818,-0.17659198113207547
0IEn6AxLNFfdfuwd2bQlbQ,19147,39.941938,-75.152868,3.5,181,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,1,NA,NA,1,NA,0,1,1,1,0,1,2,11,3,2.75,9,8,3,1,39060,38472,5468,5475,2515,2236,26832,26522,4245,4239,30187,17884,131221,28866,29876,17615,132276,28563,1.558162433467438,31,39060,0.2671136203246295,38472,0.22532039606583434,5468,0.0628698224852071,5475,0.07795698924731183,2515,0,2236,0,26832,0.5681204894885472,26522,0.5168006982108347,4245,0,4239,0,30187,0.013449850757003633,17884,-0.27099178194068707,131221,0.40477862334655457,28866,0.28780487804878047,29876,0.0014474398407816175,17615,-0.2673190259090404,132276,0.4136260836788541,28563,0.2800707547169811
0-JRAY0LpBazDuA9761U5w,19103,39.94941083,-75.1686977423,4,313,0,0,0,NA,0,0,1,0,1,1,1,0,0,0,1,NA,1,1,1,NA,1,NA,1,2,1,1,2,1,8,19,3.9167,4.0789,36,38,69,58,24219,24214,1290,1246,1926,1859,15772,15803,5231,5306,16174,32406,83217,17953,15565,31787,83400,18544,1.98234424258426,10,24219,-0.20895618143324565,24214,-0.24684571315031295,1290,-0.709689349112426,1246,-0.734062980030722,1926,-0.2696886446886447,1859,-0.15853658536585366,15772,-0.12594916849701915,15803,-0.15142447478336762,5231,0.28455988455988457,5306,0.29337365960956835,16174,-0.4904880066170389,32406,0.47026695931805423,83217,-0.506234224659822,17953,-0.3946841776110069,15565,-0.5164103491948616,31787,0.5206271544534639,83400,-0.5075197889182058,18544,-0.31067216981132073
0K4RwxdAcViifyU3Htzxww,19147,39.9404771,-75.1493607,4,224,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,1,0,1,1,NA,0,3,0,0,0,1,4,13,3.5,4.0714,14,14,19,25,39060,38472,5468,5475,2515,2236,26832,26522,4245,4239,30187,17884,131221,28866,29876,17615,132276,28563,1.1820545585248552,26,39060,0.2671136203246295,38472,0.22532039606583434,5468,0.0628698224852071,5475,0.07795698924731183,2515,0,2236,0,26832,0.5681204894885472,26522,0.5168006982108347,4245,0,4239,0,30187,0.013449850757003633,17884,-0.27099178194068707,131221,0.40477862334655457,28866,0.28780487804878047,29876,0.0014474398407816175,17615,-0.2673190259090404,132276,0.4136260836788541,28563,0.2800707547169811
0KEMPs7BD_WHI6zGpDcKjw,19103,39.948257,-75.174199,4,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,NA,1,1,4,3.5714,4.6667,7,9,17,17,24219,24214,1290,1246,1926,1859,15772,15803,5231,5306,16174,32406,83217,17953,15565,31787,83400,18544,0.90566455945836,14,24219,-0.20895618143324565,24214,-0.24684571315031295,1290,-0.709689349112426,1246,-0.734062980030722,1926,-0.2696886446886447,1859,-0.15853658536585366,15772,-0.12594916849701915,15803,-0.15142447478336762,5231,0.28455988455988457,5306,0.29337365960956835,16174,-0.4904880066170389,32406,0.47026695931805423,83217,-0.506234224659822,17953,-0.3946841776110069,15565,-0.5164103491948616,31787,0.5206271544534639,83400,-0.5075197889182058,18544,-0.31067216981132073
0ll5CZSx6qVVV2TJPcW6mA,19107,39.9511843,-75.1635217,4,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,1,NA,0,NA,NA,1,2,1,3,6,4,4.2857,3,7,1,10,13696,14526,727,940,2157,2183,9297,9845,1515,1558,11541,10001,77559,14058,11719,9706,79216,14540,1.3843245130327293,10,13696,-0.5465131199076153,14526,-0.5676722853263569,727,-0.8137943786982249,940,-0.7928187403993856,2157,-0.16391941391941392,2183,-0.022287636669470142,9297,-0.5322874176341387,9845,-0.5228477027616732,1515,-0.7878787878787878,1558,-0.7371459994500962,11541,-0.6571007300320063,10001,-0.6733704251952427,77559,-0.6136109160609569,14058,-0.6382739212007504,11719,-0.6555816898860141,9706,-0.7070499277215612,79216,-0.5863739163211459,14540,-0.5467570754716982
0mijbNf-7wiKJ9xto1pAyg,19103,39.9493776356,-75.169540979,4.5,325,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,1,1,1,1,NA,1,NA,1,3,1,1,2,1,11,16,4.4375,4.3115,96,122,67,133,24219,24214,1290,1246,1926,1859,15772,15803,5231,5306,16174,32406,83217,17953,15565,31787,83400,18544,3.2224255019137455,9,24219,-0.20895618143324565,24214,-0.24684571315031295,1290,-0.709689349112426,1246,-0.734062980030722,1926,-0.2696886446886447,1859,-0.15853658536585366,15772,-0.12594916849701915,15803,-0.15142447478336762,5231,0.28455988455988457,5306,0.29337365960956835,16174,-0.4904880066170389,32406,0.47026695931805423,83217,-0.506234224659822,17953,-0.3946841776110069,15565,-0.5164103491948616,31787,0.5206271544534639,83400,-0.5075197889182058,18544,-0.31067216981132073
0Nqa0zPHoB_GVucVMd9f6w,19148,39.9253969,-75.144875,3.5,52,NA,0,NA,NA,0,1,1,1,1,0,0,0,1,0,2,0,NA,1,NA,NA,1,NA,1,2,1,0,NA,0,1,15,4.6667,4.3333,3,3,13,3,52594,52259,9257,9472,4110,4141,31531,31193,7696,7453,28581,14140,110165,24264,27997,13926,110329,23813,0.23438235344854452,11,52594,0.7012574581381921,52259,0.681888929363844,9257,0.7634985207100592,9472,0.8454301075268817,4110,0.7303113553113553,4141,0.8010933557611438,31531,0.8630059617194854,31193,0.807992020447603,7696,0.9959595959595959,7453,0.8836953533131702,28581,-0.04430539072895314,14140,-0.46209994385176867,110165,0.005180953826884026,24264,0,27997,-0.06654604667993487,13926,-0.47242299566329365,110329,0,23813,0
0o8k654DD4h8ywBOXP1GRA,19107,39.9581334616,-75.158424899,4.5,239,0,NA,0,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,0,1,NA,1,2,0,1,0,1,12,12,4.4878,4.6458,41,48,33,34,13696,14526,727,940,2157,2183,9297,9845,1515,1558,11541,10001,77559,14058,11719,9706,79216,14540,2.84170393009154,8,13696,-0.5465131199076153,14526,-0.5676722853263569,727,-0.8137943786982249,940,-0.7928187403993856,2157,-0.16391941391941392,2183,-0.022287636669470142,9297,-0.5322874176341387,9845,-0.5228477027616732,1515,-0.7878787878787878,1558,-0.7371459994500962,11541,-0.6571007300320063,10001,-0.6733704251952427,77559,-0.6136109160609569,14058,-0.6382739212007504,11719,-0.6555816898860141,9706,-0.7070499277215612,79216,-0.5863739163211459,14540,-0.5467570754716982
0OsR9lO16jxa0xWUY57s9g,19106,39.9487051045,-75.1531596925,4.5,280,0,1,0,0,0,NA,NA,0,1,0,1,0,0,0,1,0,1,1,1,NA,1,NA,1,2,1,1,0,1,8,16,4.6195,4.582,113,122,131,106,12375,12592,763,776,761,657,8671,8853,2180,2306,8741,6883,55346,9842,9233,6744,56818,10146,1.759622446108274,30,12375,-0.5888881760441393,12592,-0.6317183826207902,763,-0.807137573964497,776,-0.8243087557603687,761,-0.8031135531135531,657,-0.6640033641715728,8671,-0.5715720112958895,8853,-0.5846892338382894,2180,-0.5959595959595959,2306,-0.5314819906516359,8741,-0.7577947998705362,6883,-0.8325251390944821,55346,-1.0351659613231359,9842,-0.9019387116948092,9233,-0.7455400759905917,6744,-0.871733570554876,56818,-1.0084998115341124,10146,-0.8058372641509434
